,lat,lon,city,clouds,country,date,humidity,max_temp,wind_sp
335,46.62,10.7,lasa,90,IT,1579921262,85,34.0,2.24
336,-10.67,-77.83,paramonga,100,PE,1579921665,81,72.64,8.84
337,49.04,19.72,liptovsky hradok,64,SK,1579921665,92,25.0,1.12
338,39.08,66.83,kitob,47,UZ,1579921665,61,31.17,5.95
339,-33.01,17.94,saldanha,18,ZA,1579921253,82,66.2,12.75
340,-25.17,46.08,ambovombe,0,MG,1579921665,79,70.21,11.27
341,70.02,135.6,ust-kuyga,11,RU,1579921665,98,-42.36,6.8
342,36.37,6.61,constantine,34,DZ,1579921295,80,35.6,3.98
343,33.73,135.98,shingu,75,JP,1579921294,53,51.8,5.82
344,14.43,77.72,dharmavaram,80,IN,1579921665,37,72.68,3.8
345,22.4,-99.6,ciudad del maiz,99,MX,1579921665,67,57.99,8.99
346,-16.92,145.77,cairns,75,AU,1579921666,88,82.0,6.93
347,20.89,-156.47,kahului,75,US,1579921256,61,80.6,5.82
348,40.74,34.47,iskilip,0,TR,1579921666,68,24.69,3.11
349,-9.43,159.95,honiara,75,SB,1579921077,74,87.8,4.7
350,67.86,20.23,kiruna,55,SE,1579921666,71,6.8,3.36
351,35.13,140.3,katsuura,75,JP,1579921306,36,53.01,4.7
352,64.25,-15.21,hofn,100,IS,1579921241,97,36.28,44.52
353,-22.28,166.46,noumea,40,NC,1579921666,52,87.8,24.16
354,61.95,159.23,evensk,100,RU,1579921299,94,5.83,18.61
355,-12.23,136.77,nhulunbuy,75,AU,1579921308,70,89.6,17.22
356,-0.72,8.78,port-gentil,57,GA,1579921666,78,82.74,9.22
357,69.38,178.42,leningradskiy,4,RU,1579921047,80,-23.69,1.54
358,45.52,-122.68,portland,90,US,1579921254,93,51.8,3.47
359,-32.25,148.62,dubbo,75,AU,1579921302,49,89.6,5.82
360,39.96,18.09,racale,75,IT,1579921667,81,55.99,8.05
361,-45.58,-72.07,coihaique,98,CL,1579921423,48,62.6,12.75
362,43.3,52.8,zhanaozen,41,KZ,1579921284,64,24.24,8.3
363,-21.15,149.2,mackay,40,AU,1579921594,66,87.8,11.41
364,20.5,-10.07,adrar,99,MR,1579921043,39,72.84,11.1
365,69.31,16.12,andenes,100,NO,1579921667,100,32.0,5.82
366,58.01,39.18,pesochnoye,78,RU,1579921667,93,28.2,9.04
367,-15.43,-74.62,acari,91,PE,1579921667,79,69.26,1.95
368,67.67,12.69,sorland,0,NO,1579921301,59,36.68,17.4
369,34.64,-120.46,lompoc,1,US,1579921217,55,62.6,6.93
370,52.7,118.81,ust-karsk,1,RU,1579921668,87,-3.19,3.53
371,47.84,30.26,lyubashivka,0,UA,1579921668,64,29.88,7.52
372,22.68,-3.98,taoudenni,89,ML,1579921245,20,72.52,5.88
373,-21.36,55.77,saint-philippe,100,RE,1579921244,100,77.0,25.28
374,37.34,-121.89,san jose,75,US,1579921022,93,60.01,5.82
375,40.71,-112.1,magna,90,US,1579921668,100,39.99,4.7
376,34.17,77.58,leh,100,IN,1579921269,91,-1.35,4.32
377,67.47,86.58,igarka,100,RU,1579921668,93,9.27,16.84
378,42.25,-75.83,broome,90,US,1579921286,35,42.01,6.93
379,-3.22,40.12,malindi,100,KE,1579921668,95,76.91,6.4
380,-8.77,160.7,auki,0,SB,1579921281,72,85.1,8.41
381,60.73,56.72,nyrob,88,RU,1579921669,99,-0.38,4.47
382,11.02,29.72,kaduqli,0,SD,1579921669,20,60.33,22.77
